Carlow County Council,Cavan County Council,Clare County Council,Cork City Council,Cork County Council,Donegal County Council,Dublin City Council,Dún Laoghaire Rathdown County Council,Fingal County Council,Galway City Council,Galway County Council,Ireland,Kerry County Council,Kildare County Council,Kilkenny County Council,Laois County Council,Leitrim County Council,Limerick City & County Council,Longford County Council,Louth County Council,Mayo  County Council,Meath County Council,Monaghan County Council,Offaly County Council,Roscommon County Council,Sligo County Council,South Dublin County Council,Tipperary County Council,Waterford City & County Council,Westmeath County Council,Wexford County Council,Wicklow County Council
366.0,388.0,739.0,1889.0,1783.0,864.0,4326.0,1742.0,2073.0,1142.0,974.0,31624.0,823.0,1589.0,529.0,510.0,159.0,1504.0,246.0,880.0,658.0,1276.0,304.0,487.0,321.0,450.0,1796.0,853.0,770.0,543.0,832.0,808.0
444.0,455.0,828.0,1652.0,2004.0,941.0,3777.0,1535.0,2080.0,882.0,1078.0,32120.0,807.0,1744.0,560.0,537.0,185.0,1428.0,315.0,1037.0,652.0,1454.0,349.0,504.0,375.0,427.0,1904.0,970.0,794.0,562.0,932.0,908.0
813.0,832.0,1352.0,3518.0,3571.0,1708.0,8140.0,3085.0,3792.0,2084.0,1850.0,60661.0,1518.0,3050.0,1045.0,1025.0,277.0,2657.0,507.0,1711.0,1263.0,2546.0,668.0,882.0,688.0,858.0,3683.0,1755.0,1481.0,1097.0,1582.0,1623.0
381.0,390.0,697.0,1851.0,1700.0,821.0,4237.0,1605.0,1833.0,1161.0,840.0,29890.0,762.0,1463.0,471.0,491.0,131.0,1314.0,233.0,814.0,634.0,1216.0,317.0,416.0,345.0,409.0,1783.0,816.0,709.0,525.0,781.0,744.0
432.0,442.0,655.0,1667.0,1871.0,887.0,3903.0,1480.0,1959.0,923.0,1010.0,30771.0,756.0,1587.0,574.0,534.0,146.0,1343.0,274.0,897.0,629.0,1330.0,351.0,466.0,343.0,449.0,1900.0,939.0,772.0,572.0,801.0,879.0
769.0,855.0,1503.0,3677.0,3552.0,1731.0,9091.0,3242.0,3827.0,1964.0,1776.0,62218.0,1556.0,2890.0,993.0,994.0,322.0,2951.0,516.0,1718.0,1294.0,2430.0,667.0,915.0,665.0,815.0,3724.0,1782.0,1471.0,1103.0,1766.0,1659.0
361.0,414.0,728.0,1835.0,1720.0,861.0,4719.0,1635.0,1844.0,1069.0,848.0,30768.0,766.0,1380.0,438.0,477.0,152.0,1473.0,257.0,866.0,670.0,1116.0,315.0,413.0,318.0,404.0,1851.0,873.0,720.0,568.0,888.0,789.0
408.0,441.0,775.0,1842.0,1832.0,870.0,4372.0,1607.0,1983.0,895.0,928.0,31450.0,790.0,1510.0,555.0,517.0,170.0,1478.0,259.0,852.0,624.0,1314.0,352.0,502.0,347.0,411.0,1873.0,909.0,751.0,535.0,878.0,870.0
720.0,875.0,1281.0,3500.0,3388.0,1571.0,9981.0,3247.0,3733.0,1722.0,1726.0,60922.0,1597.0,2860.0,994.0,961.0,329.0,2597.0,498.0,1579.0,1242.0,2320.0,662.0,894.0,643.0,752.0,3783.0,1696.0,1462.0,1052.0,1722.0,1535.0
344.0,439.0,649.0,1779.0,1603.0,762.0,5142.0,1681.0,1807.0,927.0,819.0,30051.0,763.0,1391.0,471.0,458.0,152.0,1246.0,232.0,767.0,623.0,1063.0,302.0,441.0,307.0,387.0,1884.0,830.0,722.0,468.0,868.0,724.0
