CensusYear,Sex,Single Year of Age,Administrative Counties,VALUE
2022,Male,96,Leitrim County Council,0
2022,Male,96,Mayo  County Council,10
2022,Male,96,Roscommon County Council,9
2022,Male,96,Sligo County Council,7
2022,Male,96,Cavan County Council,7
2022,Male,96,Donegal County Council,14
2022,Male,96,Monaghan County Council,3
2022,Male,97,Carlow County Council,2
2022,Male,97,Dublin City Council,28
2022,Male,97,Dún Laoghaire Rathdown County Council,14
2022,Male,97,Fingal County Council,11
2022,Male,97,South Dublin County Council,9
2022,Male,97,Kildare County Council,7
2022,Male,97,Kilkenny County Council,5
2022,Male,97,Laois County Council,2
2022,Male,97,Longford County Council,2
2022,Male,97,Louth County Council,5
2022,Male,97,Meath County Council,6
2022,Male,97,Offaly County Council,3
2022,Male,97,Westmeath County Council,5
2022,Male,97,Wexford County Council,6
2022,Male,97,Wicklow County Council,4
2022,Male,97,Clare County Council,11
2022,Male,97,Cork City Council,11
2022,Male,97,Cork County Council,16
2022,Male,97,Kerry County Council,13
2022,Male,97,Limerick City & County Council,9
2022,Male,97,Tipperary County Council,6
2022,Male,97,Waterford City & County Council,5
2022,Male,97,Galway City Council,2
2022,Male,97,Galway County Council,8
2022,Male,97,Leitrim County Council,3
2022,Male,97,Mayo  County Council,10
2022,Male,97,Roscommon County Council,1
2022,Male,97,Sligo County Council,4
2022,Male,97,Cavan County Council,3
2022,Male,97,Donegal County Council,6
2022,Male,97,Monaghan County Council,0
2022,Male,98,Carlow County Council,2
2022,Male,98,Dublin City Council,24
2022,Male,98,Dún Laoghaire Rathdown County Council,10
2022,Male,98,Fingal County Council,3
2022,Male,98,South Dublin County Council,4
2022,Male,98,Kildare County Council,3
2022,Male,98,Kilkenny County Council,2
2022,Male,98,Laois County Council,4
2022,Male,98,Longford County Council,0
2022,Male,98,Louth County Council,3
2022,Male,98,Meath County Council,3
2022,Male,98,Offaly County Council,1
2022,Male,98,Westmeath County Council,3
2022,Male,98,Wexford County Council,4
2022,Male,98,Wicklow County Council,4
2022,Male,98,Clare County Council,3
2022,Male,98,Cork City Council,3
2022,Male,98,Cork County Council,7
2022,Male,98,Kerry County Council,4
2022,Male,98,Limerick City & County Council,9
2022,Male,98,Tipperary County Council,5
2022,Male,98,Waterford City & County Council,4
2022,Male,98,Galway City Council,1
2022,Male,98,Galway County Council,5
2022,Male,98,Leitrim County Council,1
2022,Male,98,Mayo  County Council,9
2022,Male,98,Roscommon County Council,1
2022,Male,98,Sligo County Council,1
2022,Male,98,Cavan County Council,1
2022,Male,98,Donegal County Council,4
2022,Male,98,Monaghan County Council,2
2022,Male,99,Carlow County Council,1
2022,Male,99,Dublin City Council,15
2022,Male,99,Dún Laoghaire Rathdown County Council,6
2022,Male,99,Fingal County Council,2
2022,Male,99,South Dublin County Council,7
2022,Male,99,Kildare County Council,1
2022,Male,99,Kilkenny County Council,4
2022,Male,99,Laois County Council,0
2022,Male,99,Longford County Council,1
2022,Male,99,Louth County Council,1
2022,Male,99,Meath County Council,3
2022,Male,99,Offaly County Council,0
2022,Male,99,Westmeath County Council,3
2022,Male,99,Wexford County Council,6
2022,Male,99,Wicklow County Council,1
2022,Male,99,Clare County Council,3
2022,Male,99,Cork City Council,4
2022,Male,99,Cork County Council,8
2022,Male,99,Kerry County Council,3
2022,Male,99,Limerick City & County Council,6
2022,Male,99,Tipperary County Council,5
2022,Male,99,Waterford City & County Council,4
2022,Male,99,Galway City Council,3
2022,Male,99,Galway County Council,6
2022,Male,99,Leitrim County Council,0
2022,Male,99,Mayo  County Council,2
2022,Male,99,Roscommon County Council,3
2022,Male,99,Sligo County Council,2
2022,Male,99,Cavan County Council,0
2022,Male,99,Donegal County Council,5
2022,Male,99,Monaghan County Council,0
2022,Male,100,Carlow County Council,0
2022,Male,100,Dublin City Council,20
2022,Male,100,Dún Laoghaire Rathdown County Council,13
2022,Male,100,Fingal County Council,4
2022,Male,100,South Dublin County Council,7
2022,Male,100,Kildare County Council,6
2022,Male,100,Kilkenny County Council,6
2022,Male,100,Laois County Council,0
2022,Male,100,Longford County Council,1
2022,Male,100,Louth County Council,5
2022,Male,100,Meath County Council,4
2022,Male,100,Offaly County Council,1
2022,Male,100,Westmeath County Council,3
2022,Male,100,Wexford County Council,2
2022,Male,100,Wicklow County Council,3
2022,Male,100,Clare County Council,3
2022,Male,100,Cork City Council,6
2022,Male,100,Cork County Council,11
2022,Male,100,Kerry County Council,2
2022,Male,100,Limerick City & County Council,7
2022,Male,100,Tipperary County Council,4
2022,Male,100,Waterford City & County Council,4
2022,Male,100,Galway City Council,3
2022,Male,100,Galway County Council,16
2022,Male,100,Leitrim County Council,0
2022,Male,100,Mayo  County Council,6
2022,Male,100,Roscommon County Council,5
2022,Male,100,Sligo County Council,3
2022,Male,100,Cavan County Council,6
2022,Male,100,Donegal County Council,2
2022,Male,100,Monaghan County Council,1
2022,Female,0,Carlow County Council,353
2022,Female,0,Dublin City Council,3025
2022,Female,0,Dún Laoghaire Rathdown County Council,1188
2022,Female,0,Fingal County Council,1950
2022,Female,0,South Dublin County Council,1689
2022,Female,0,Kildare County Council,1455
2022,Female,0,Kilkenny County Council,553
2022,Female,0,Laois County Council,545
2022,Female,0,Longford County Council,270
2022,Female,0,Louth County Council,848
2022,Female,0,Meath County Council,1368
2022,Female,0,Offaly County Council,454
2022,Female,0,Westmeath County Council,535
2022,Female,0,Wexford County Council,882
2022,Female,0,Wicklow County Council,800
2022,Female,0,Clare County Council,691
2022,Female,0,Cork City Council,1124
2022,Female,0,Cork County Council,2055
2022,Female,0,Kerry County Council,843
2022,Female,0,Limerick City & County Council,1049
2022,Female,0,Tipperary County Council,915
2022,Female,0,Waterford City & County Council,662
2022,Female,0,Galway City Council,387
2022,Female,0,Galway County Council,1073
2022,Female,0,Leitrim County Council,204
2022,Female,0,Mayo  County Council,730
2022,Female,0,Roscommon County Council,366
2022,Female,0,Sligo County Council,367
2022,Female,0,Cavan County Council,501
2022,Female,0,Donegal County Council,881
2022,Female,0,Monaghan County Council,423
2022,Female,1,Carlow County Council,302
2022,Female,1,Dublin City Council,2762
2022,Female,1,Dún Laoghaire Rathdown County Council,1192
2022,Female,1,Fingal County Council,1907
2022,Female,1,South Dublin County Council,1751
2022,Female,1,Kildare County Council,1452
2022,Female,1,Kilkenny County Council,545
2022,Female,1,Laois County Council,491
2022,Female,1,Longford County Council,238
2022,Female,1,Louth County Council,722
2022,Female,1,Meath County Council,1235
2022,Female,1,Offaly County Council,446
2022,Female,1,Westmeath County Council,602
2022,Female,1,Wexford County Council,878
2022,Female,1,Wicklow County Council,820
2022,Female,1,Clare County Council,704
2022,Female,1,Cork City Council,1136
2022,Female,1,Cork County Council,2045
2022,Female,1,Kerry County Council,739
2022,Female,1,Limerick City & County Council,1087
2022,Female,1,Tipperary County Council,872
2022,Female,1,Waterford City & County Council,602
2022,Female,1,Galway City Council,395
2022,Female,1,Galway County Council,1082
2022,Female,1,Leitrim County Council,202
2022,Female,1,Mayo  County Council,790
2022,Female,1,Roscommon County Council,384
2022,Female,1,Sligo County Council,383
2022,Female,1,Cavan County Council,477
2022,Female,1,Donegal County Council,918
2022,Female,1,Monaghan County Council,386
2022,Female,2,Carlow County Council,334
2022,Female,2,Dublin City Council,2795
2022,Female,2,Dún Laoghaire Rathdown County Council,1238
2022,Female,2,Fingal County Council,2112
2022,Female,2,South Dublin County Council,1867
2022,Female,2,Kildare County Council,1559
2022,Female,2,Kilkenny County Council,559
2022,Female,2,Laois County Council,564
2022,Female,2,Longford County Council,243
2022,Female,2,Louth County Council,793
2022,Female,2,Meath County Council,1388
2022,Female,2,Offaly County Council,456
2022,Female,2,Westmeath County Council,532
2022,Female,2,Wexford County Council,921
2022,Female,2,Wicklow County Council,890
2022,Female,2,Clare County Council,744
2022,Female,2,Cork City Council,1162
2022,Female,2,Cork County Council,2106
2022,Female,2,Kerry County Council,803
2022,Female,2,Limerick City & County Council,1130
2022,Female,2,Tipperary County Council,879
2022,Female,2,Waterford City & County Council,665
2022,Female,2,Galway City Council,386
2022,Female,2,Galway County Council,1161
2022,Female,2,Leitrim County Council,229
2022,Female,2,Mayo  County Council,731
2022,Female,2,Roscommon County Council,428
2022,Female,2,Sligo County Council,360
2022,Female,2,Cavan County Council,520
2022,Female,2,Donegal County Council,983
2022,Female,2,Monaghan County Council,436
2022,Female,3,Carlow County Council,378
2022,Female,3,Dublin City Council,2705
2022,Female,3,Dún Laoghaire Rathdown County Council,1309
2022,Female,3,Fingal County Council,2161
2022,Female,3,South Dublin County Council,1859
2022,Female,3,Kildare County Council,1509
2022,Female,3,Kilkenny County Council,597
2022,Female,3,Laois County Council,571
2022,Female,3,Longford County Council,300
2022,Female,3,Louth County Council,787
2022,Female,3,Meath County Council,1389
2022,Female,3,Offaly County Council,478
2022,Female,3,Westmeath County Council,558
2022,Female,3,Wexford County Council,903
2022,Female,3,Wicklow County Council,886
2022,Female,3,Clare County Council,745
2022,Female,3,Cork City Council,1106
2022,Female,3,Cork County Council,2177
2022,Female,3,Kerry County Council,847
2022,Female,3,Limerick City & County Council,1159
2022,Female,3,Tipperary County Council,1019
2022,Female,3,Waterford City & County Council,721
2022,Female,3,Galway City Council,389
2022,Female,3,Galway County Council,1191
2022,Female,3,Leitrim County Council,192
2022,Female,3,Mayo  County Council,743
2022,Female,3,Roscommon County Council,418
2022,Female,3,Sligo County Council,405
2022,Female,3,Cavan County Council,525
2022,Female,3,Donegal County Council,1044
2022,Female,3,Monaghan County Council,412
2022,Female,4,Carlow County Council,369
2022,Female,4,Dublin City Council,2755
2022,Female,4,Dún Laoghaire Rathdown County Council,1278
2022,Female,4,Fingal County Council,2147
2022,Female,4,South Dublin County Council,1868
2022,Female,4,Kildare County Council,1563
2022,Female,4,Kilkenny County Council,618
2022,Female,4,Laois County Council,577
2022,Female,4,Longford County Council,283
2022,Female,4,Louth County Council,814
2022,Female,4,Meath County Council,1448
2022,Female,4,Offaly County Council,488
2022,Female,4,Westmeath County Council,609
2022,Female,4,Wexford County Council,921
2022,Female,4,Wicklow County Council,887
2022,Female,4,Clare County Council,766
2022,Female,4,Cork City Council,1101
2022,Female,4,Cork County Council,2262
2022,Female,4,Kerry County Council,844
2022,Female,4,Limerick City & County Council,1227
2022,Female,4,Tipperary County Council,998
2022,Female,4,Waterford City & County Council,634
2022,Female,4,Galway City Council,418
2022,Female,4,Galway County Council,1189
2022,Female,4,Leitrim County Council,227
2022,Female,4,Mayo  County Council,751
2022,Female,4,Roscommon County Council,406
2022,Female,4,Sligo County Council,408
2022,Female,4,Cavan County Council,492
2022,Female,4,Donegal County Council,1047
2022,Female,4,Monaghan County Council,424
2022,Female,5,Carlow County Council,365
2022,Female,5,Dublin City Council,2782
2022,Female,5,Dún Laoghaire Rathdown County Council,1426
2022,Female,5,Fingal County Council,2252
2022,Female,5,South Dublin County Council,1946
2022,Female,5,Kildare County Council,1604
2022,Female,5,Kilkenny County Council,644
2022,Female,5,Laois County Council,607
2022,Female,5,Longford County Council,299
2022,Female,5,Louth County Council,896
2022,Female,5,Meath County Council,1520
2022,Female,5,Offaly County Council,530
2022,Female,5,Westmeath County Council,617
2022,Female,5,Wexford County Council,1000
2022,Female,5,Wicklow County Council,1013
2022,Female,5,Clare County Council,799
2022,Female,5,Cork City Council,1186
2022,Female,5,Cork County Council,2347
2022,Female,5,Kerry County Council,935
2022,Female,5,Limerick City & County Council,1190
2022,Female,5,Tipperary County Council,987
2022,Female,5,Waterford City & County Council,728
2022,Female,5,Galway City Council,412
2022,Female,5,Galway County Council,1286
2022,Female,5,Leitrim County Council,218
2022,Female,5,Mayo  County Council,832
2022,Female,5,Roscommon County Council,442
2022,Female,5,Sligo County Council,392
2022,Female,5,Cavan County Council,544
2022,Female,5,Donegal County Council,1095
2022,Female,5,Monaghan County Council,448
2022,Female,6,Carlow County Council,367
2022,Female,6,Dublin City Council,2879
2022,Female,6,Dún Laoghaire Rathdown County Council,1394
2022,Female,6,Fingal County Council,2361
2022,Female,6,South Dublin County Council,2057
2022,Female,6,Kildare County Council,1722
2022,Female,6,Kilkenny County Council,669
2022,Female,6,Laois County Council,630
2022,Female,6,Longford County Council,287
2022,Female,6,Louth County Council,935
2022,Female,6,Meath County Council,1628
2022,Female,6,Offaly County Council,522
2022,Female,6,Westmeath County Council,668
2022,Female,6,Wexford County Council,1058
2022,Female,6,Wicklow County Council,1026
2022,Female,6,Clare County Council,789
2022,Female,6,Cork City Council,1228
2022,Female,6,Cork County Council,2434
2022,Female,6,Kerry County Council,903
2022,Female,6,Limerick City & County Council,1317
2022,Female,6,Tipperary County Council,1079
2022,Female,6,Waterford City & County Council,780
2022,Female,6,Galway City Council,406
2022,Female,6,Galway County Council,1361
2022,Female,6,Leitrim County Council,236
2022,Female,6,Mayo  County Council,847
2022,Female,6,Roscommon County Council,473
2022,Female,6,Sligo County Council,401
2022,Female,6,Cavan County Council,591
2022,Female,6,Donegal County Council,1061
2022,Female,6,Monaghan County Council,513
2022,Female,7,Carlow County Council,455
2022,Female,7,Dublin City Council,2891
2022,Female,7,Dún Laoghaire Rathdown County Council,1469
2022,Female,7,Fingal County Council,2476
2022,Female,7,South Dublin County Council,2092
2022,Female,7,Kildare County Council,1776
2022,Female,7,Kilkenny County Council,756
2022,Female,7,Laois County Council,696
2022,Female,7,Longford County Council,345
2022,Female,7,Louth County Council,936
2022,Female,7,Meath County Council,1665
2022,Female,7,Offaly County Council,618
2022,Female,7,Westmeath County Council,677
2022,Female,7,Wexford County Council,1069
2022,Female,7,Wicklow County Council,1045
2022,Female,7,Clare County Council,805
2022,Female,7,Cork City Council,1195
2022,Female,7,Cork County Council,2605
2022,Female,7,Kerry County Council,946
2022,Female,7,Limerick City & County Council,1271
2022,Female,7,Tipperary County Council,1088
2022,Female,7,Waterford City & County Council,841
2022,Female,7,Galway City Council,433
2022,Female,7,Galway County Council,1291
2022,Female,7,Leitrim County Council,239
2022,Female,7,Mayo  County Council,874
2022,Female,7,Roscommon County Council,504
2022,Female,7,Sligo County Council,426
2022,Female,7,Cavan County Council,555
2022,Female,7,Donegal County Council,1075
2022,Female,7,Monaghan County Council,458
2022,Female,8,Carlow County Council,404
2022,Female,8,Dublin City Council,2991
2022,Female,8,Dún Laoghaire Rathdown County Council,1468
2022,Female,8,Fingal County Council,2608
2022,Female,8,South Dublin County Council,2183
2022,Female,8,Kildare County Council,1773
2022,Female,8,Kilkenny County Council,702
2022,Female,8,Laois County Council,723
2022,Female,8,Longford County Council,313
2022,Female,8,Louth County Council,1011
2022,Female,8,Meath County Council,1712
2022,Female,8,Offaly County Council,578
2022,Female,8,Westmeath County Council,712
2022,Female,8,Wexford County Council,1104
2022,Female,8,Wicklow County Council,1105
2022,Female,8,Clare County Council,801
2022,Female,8,Cork City Council,1246
2022,Female,8,Cork County Council,2625
2022,Female,8,Kerry County Council,919
2022,Female,8,Limerick City & County Council,1362
2022,Female,8,Tipperary County Council,1156
2022,Female,8,Waterford City & County Council,820
2022,Female,8,Galway City Council,480
2022,Female,8,Galway County Council,1408
2022,Female,8,Leitrim County Council,255
2022,Female,8,Mayo  County Council,861
2022,Female,8,Roscommon County Council,470
2022,Female,8,Sligo County Council,461
2022,Female,8,Cavan County Council,615
2022,Female,8,Donegal County Council,1095
2022,Female,8,Monaghan County Council,476
2022,Female,9,Carlow County Council,435
2022,Female,9,Dublin City Council,2930
2022,Female,9,Dún Laoghaire Rathdown County Council,1550
2022,Female,9,Fingal County Council,2625
2022,Female,9,South Dublin County Council,2224
2022,Female,9,Kildare County Council,1893
2022,Female,9,Kilkenny County Council,773
2022,Female,9,Laois County Council,655
2022,Female,9,Longford County Council,356
2022,Female,9,Louth County Council,1061
2022,Female,9,Meath County Council,1832
2022,Female,9,Offaly County Council,600
2022,Female,9,Westmeath County Council,706
2022,Female,9,Wexford County Council,1119
2022,Female,9,Wicklow County Council,1161
2022,Female,9,Clare County Council,873
2022,Female,9,Cork City Council,1271
2022,Female,9,Cork County Council,2699
2022,Female,9,Kerry County Council,1000
2022,Female,9,Limerick City & County Council,1363
2022,Female,9,Tipperary County Council,1140
2022,Female,9,Waterford City & County Council,826
2022,Female,9,Galway City Council,465
2022,Female,9,Galway County Council,1345
2022,Female,9,Leitrim County Council,258
2022,Female,9,Mayo  County Council,908
2022,Female,9,Roscommon County Council,483
2022,Female,9,Sligo County Council,448
2022,Female,9,Cavan County Council,602
2022,Female,9,Donegal County Council,1169
2022,Female,9,Monaghan County Council,457
2022,Female,10,Carlow County Council,446
2022,Female,10,Dublin City Council,3027
2022,Female,10,Dún Laoghaire Rathdown County Council,1449
2022,Female,10,Fingal County Council,2736
2022,Female,10,South Dublin County Council,2270
2022,Female,10,Kildare County Council,1890
2022,Female,10,Kilkenny County Council,771
2022,Female,10,Laois County Council,769
2022,Female,10,Longford County Council,361
2022,Female,10,Louth County Council,1029
2022,Female,10,Meath County Council,1800
2022,Female,10,Offaly County Council,650
2022,Female,10,Westmeath County Council,690
2022,Female,10,Wexford County Council,1107
2022,Female,10,Wicklow County Council,1139
2022,Female,10,Clare County Council,960
2022,Female,10,Cork City Council,1285
2022,Female,10,Cork County Council,2831
2022,Female,10,Kerry County Council,1023
2022,Female,10,Limerick City & County Council,1392
2022,Female,10,Tipperary County Council,1185
2022,Female,10,Waterford City & County Council,871
2022,Female,10,Galway City Council,438
2022,Female,10,Galway County Council,1418
2022,Female,10,Leitrim County Council,257
2022,Female,10,Mayo  County Council,939
2022,Female,10,Roscommon County Council,484
2022,Female,10,Sligo County Council,465
2022,Female,10,Cavan County Council,661
2022,Female,10,Donegal County Council,1233
2022,Female,10,Monaghan County Council,490
2022,Female,11,Carlow County Council,450
2022,Female,11,Dublin City Council,3003
2022,Female,11,Dún Laoghaire Rathdown County Council,1484
2022,Female,11,Fingal County Council,2660
2022,Female,11,South Dublin County Council,2350
2022,Female,11,Kildare County Council,1954
2022,Female,11,Kilkenny County Council,809
2022,Female,11,Laois County Council,729
2022,Female,11,Longford County Council,343
2022,Female,11,Louth County Council,1066
2022,Female,11,Meath County Council,1920
2022,Female,11,Offaly County Council,608
2022,Female,11,Westmeath County Council,714
2022,Female,11,Wexford County Council,1190
2022,Female,11,Wicklow County Council,1292
2022,Female,11,Clare County Council,913
2022,Female,11,Cork City Council,1302
2022,Female,11,Cork County Council,2873
2022,Female,11,Kerry County Council,1074
2022,Female,11,Limerick City & County Council,1487
2022,Female,11,Tipperary County Council,1163
2022,Female,11,Waterford City & County Council,943
2022,Female,11,Galway City Council,480
2022,Female,11,Galway County Council,1487
2022,Female,11,Leitrim County Council,265
2022,Female,11,Mayo  County Council,960
2022,Female,11,Roscommon County Council,505
2022,Female,11,Sligo County Council,459
2022,Female,11,Cavan County Council,624
2022,Female,11,Donegal County Council,1254
2022,Female,11,Monaghan County Council,502
2022,Female,12,Carlow County Council,467
2022,Female,12,Dublin City Council,3048
2022,Female,12,Dún Laoghaire Rathdown County Council,1430
2022,Female,12,Fingal County Council,2779
2022,Female,12,South Dublin County Council,2396
2022,Female,12,Kildare County Council,1984
2022,Female,12,Kilkenny County Council,775
2022,Female,12,Laois County Council,807
2022,Female,12,Longford County Council,350
2022,Female,12,Louth County Council,1113
2022,Female,12,Meath County Council,1912
2022,Female,12,Offaly County Council,619
2022,Female,12,Westmeath County Council,714
2022,Female,12,Wexford County Council,1228
2022,Female,12,Wicklow County Council,1264
2022,Female,12,Clare County Council,999
2022,Female,12,Cork City Council,1334
2022,Female,12,Cork County Council,2829
2022,Female,12,Kerry County Council,1090
2022,Female,12,Limerick City & County Council,1362
2022,Female,12,Tipperary County Council,1225
2022,Female,12,Waterford City & County Council,949
2022,Female,12,Galway City Council,438
2022,Female,12,Galway County Council,1413
2022,Female,12,Leitrim County Council,276
2022,Female,12,Mayo  County Council,962
2022,Female,12,Roscommon County Council,539
2022,Female,12,Sligo County Council,506
2022,Female,12,Cavan County Council,672
2022,Female,12,Donegal County Council,1292
2022,Female,12,Monaghan County Council,525
2022,Female,13,Carlow County Council,459
2022,Female,13,Dublin City Council,2975
2022,Female,13,Dún Laoghaire Rathdown County Council,1432
2022,Female,13,Fingal County Council,2655
2022,Female,13,South Dublin County Council,2304
2022,Female,13,Kildare County Council,1909
2022,Female,13,Kilkenny County Council,769
2022,Female,13,Laois County Council,745
2022,Female,13,Longford County Council,378
2022,Female,13,Louth County Council,1113
2022,Female,13,Meath County Council,1888
2022,Female,13,Offaly County Council,662
2022,Female,13,Westmeath County Council,683
2022,Female,13,Wexford County Council,1283
2022,Female,13,Wicklow County Council,1153
2022,Female,13,Clare County Council,914
2022,Female,13,Cork City Council,1302
2022,Female,13,Cork County Council,2897
2022,Female,13,Kerry County Council,1087
2022,Female,13,Limerick City & County Council,1435
2022,Female,13,Tipperary County Council,1246
2022,Female,13,Waterford City & County Council,985
2022,Female,13,Galway City Council,468
2022,Female,13,Galway County Council,1471
2022,Female,13,Leitrim County Council,238
2022,Female,13,Mayo  County Council,919
2022,Female,13,Roscommon County Council,488
2022,Female,13,Sligo County Council,503
2022,Female,13,Cavan County Council,634
2022,Female,13,Donegal County Council,1255
2022,Female,13,Monaghan County Council,532
2022,Female,14,Carlow County Council,465
2022,Female,14,Dublin City Council,2942
2022,Female,14,Dún Laoghaire Rathdown County Council,1464
2022,Female,14,Fingal County Council,2584
2022,Female,14,South Dublin County Council,2222
2022,Female,14,Kildare County Council,1907
2022,Female,14,Kilkenny County Council,692
2022,Female,14,Laois County Council,763
2022,Female,14,Longford County Council,352
2022,Female,14,Louth County Council,1072
2022,Female,14,Meath County Council,1853
2022,Female,14,Offaly County Council,589
2022,Female,14,Westmeath County Council,689
2022,Female,14,Wexford County Council,1200
2022,Female,14,Wicklow County Council,1238
2022,Female,14,Clare County Council,894
2022,Female,14,Cork City Council,1270
2022,Female,14,Cork County Council,2779
2022,Female,14,Kerry County Council,1098
2022,Female,14,Limerick City & County Council,1445
2022,Female,14,Tipperary County Council,1259
2022,Female,14,Waterford City & County Council,896
2022,Female,14,Galway City Council,425
2022,Female,14,Galway County Council,1506
2022,Female,14,Leitrim County Council,230
2022,Female,14,Mayo  County Council,942
2022,Female,14,Roscommon County Council,473
2022,Female,14,Sligo County Council,467
2022,Female,14,Cavan County Council,621
2022,Female,14,Donegal County Council,1281
2022,Female,14,Monaghan County Council,462
2022,Female,15,Carlow County Council,411
2022,Female,15,Dublin City Council,2729
2022,Female,15,Dún Laoghaire Rathdown County Council,1383
2022,Female,15,Fingal County Council,2420
2022,Female,15,South Dublin County Council,2126
2022,Female,15,Kildare County Council,1817
2022,Female,15,Kilkenny County Council,760
2022,Female,15,Laois County Council,727
2022,Female,15,Longford County Council,358
2022,Female,15,Louth County Council,1030
2022,Female,15,Meath County Council,1729
2022,Female,15,Offaly County Council,597
2022,Female,15,Westmeath County Council,659
2022,Female,15,Wexford County Council,1170
2022,Female,15,Wicklow County Council,1125
2022,Female,15,Clare County Council,907
2022,Female,15,Cork City Council,1228
2022,Female,15,Cork County Council,2629
2022,Female,15,Kerry County Council,1036
2022,Female,15,Limerick City & County Council,1335
2022,Female,15,Tipperary County Council,1178
2022,Female,15,Waterford City & County Council,872
2022,Female,15,Galway City Council,433
2022,Female,15,Galway County Council,1394
2022,Female,15,Leitrim County Council,263
2022,Female,15,Mayo  County Council,911
2022,Female,15,Roscommon County Council,491
2022,Female,15,Sligo County Council,442
2022,Female,15,Cavan County Council,643
2022,Female,15,Donegal County Council,1202
2022,Female,15,Monaghan County Council,487
2022,Female,16,Carlow County Council,442
2022,Female,16,Dublin City Council,2658
2022,Female,16,Dún Laoghaire Rathdown County Council,1352
2022,Female,16,Fingal County Council,2238
2022,Female,16,South Dublin County Council,1978
2022,Female,16,Kildare County Council,1713
2022,Female,16,Kilkenny County Council,673
2022,Female,16,Laois County Council,633
2022,Female,16,Longford County Council,327
2022,Female,16,Louth County Council,1019
2022,Female,16,Meath County Council,1570
2022,Female,16,Offaly County Council,566
2022,Female,16,Westmeath County Council,635
2022,Female,16,Wexford County Council,1108
2022,Female,16,Wicklow County Council,1054
2022,Female,16,Clare County Council,947
2022,Female,16,Cork City Council,1202
2022,Female,16,Cork County Council,2562
2022,Female,16,Kerry County Council,1019
2022,Female,16,Limerick City & County Council,1291
2022,Female,16,Tipperary County Council,1152
2022,Female,16,Waterford City & County Council,866
2022,Female,16,Galway City Council,443
2022,Female,16,Galway County Council,1444
2022,Female,16,Leitrim County Council,229
2022,Female,16,Mayo  County Council,933
2022,Female,16,Roscommon County Council,511
2022,Female,16,Sligo County Council,455
2022,Female,16,Cavan County Council,550
2022,Female,16,Donegal County Council,1149
2022,Female,16,Monaghan County Council,449
2022,Female,17,Carlow County Council,414
2022,Female,17,Dublin City Council,2734
2022,Female,17,Dún Laoghaire Rathdown County Council,1398
2022,Female,17,Fingal County Council,2195
2022,Female,17,South Dublin County Council,2034
2022,Female,17,Kildare County Council,1734
2022,Female,17,Kilkenny County Council,739
2022,Female,17,Laois County Council,718
2022,Female,17,Longford County Council,314
2022,Female,17,Louth County Council,1009
2022,Female,17,Meath County Council,1582
2022,Female,17,Offaly County Council,524
2022,Female,17,Westmeath County Council,643
2022,Female,17,Wexford County Council,1062
2022,Female,17,Wicklow County Council,1064
2022,Female,17,Clare County Council,890
2022,Female,17,Cork City Council,1222
2022,Female,17,Cork County Council,2431
2022,Female,17,Kerry County Council,1046
2022,Female,17,Limerick City & County Council,1224
2022,Female,17,Tipperary County Council,1216
2022,Female,17,Waterford City & County Council,862
2022,Female,17,Galway City Council,416
2022,Female,17,Galway County Council,1329
2022,Female,17,Leitrim County Council,226
2022,Female,17,Mayo  County Council,885
2022,Female,17,Roscommon County Council,482
2022,Female,17,Sligo County Council,452
2022,Female,17,Cavan County Council,590
2022,Female,17,Donegal County Council,1130
2022,Female,17,Monaghan County Council,480
2022,Female,18,Carlow County Council,466
2022,Female,18,Dublin City Council,3291
2022,Female,18,Dún Laoghaire Rathdown County Council,1511
2022,Female,18,Fingal County Council,2252
2022,Female,18,South Dublin County Council,1949
2022,Female,18,Kildare County Council,1708
2022,Female,18,Kilkenny County Council,699
2022,Female,18,Laois County Council,634
2022,Female,18,Longford County Council,272
2022,Female,18,Louth County Council,953
2022,Female,18,Meath County Council,1496
2022,Female,18,Offaly County Council,584
2022,Female,18,Westmeath County Council,623
2022,Female,18,Wexford County Council,1084
2022,Female,18,Wicklow County Council,1015
2022,Female,18,Clare County Council,830
2022,Female,18,Cork City Council,1288
2022,Female,18,Cork County Council,2343
2022,Female,18,Kerry County Council,943
2022,Female,18,Limerick City & County Council,1305
2022,Female,18,Tipperary County Council,1046
2022,Female,18,Waterford City & County Council,817
2022,Female,18,Galway City Council,521
2022,Female,18,Galway County Council,1214
2022,Female,18,Leitrim County Council,220
2022,Female,18,Mayo  County Council,876
2022,Female,18,Roscommon County Council,412
2022,Female,18,Sligo County Council,462
2022,Female,18,Cavan County Council,533
2022,Female,18,Donegal County Council,1110
2022,Female,18,Monaghan County Council,395
2022,Female,19,Carlow County Council,381
2022,Female,19,Dublin City Council,3676
2022,Female,19,Dún Laoghaire Rathdown County Council,1659
2022,Female,19,Fingal County Council,2191
2022,Female,19,South Dublin County Council,1911
2022,Female,19,Kildare County Council,1746
2022,Female,19,Kilkenny County Council,563
2022,Female,19,Laois County Council,537
2022,Female,19,Longford County Council,276
2022,Female,19,Louth County Council,876
2022,Female,19,Meath County Council,1385
2022,Female,19,Offaly County Council,473
2022,Female,19,Westmeath County Council,532
2022,Female,19,Wexford County Council,872
2022,Female,19,Wicklow County Council,900
2022,Female,19,Clare County Council,821
2022,Female,19,Cork City Council,1731
2022,Female,19,Cork County Council,1971
2022,Female,19,Kerry County Council,798
2022,Female,19,Limerick City & County Council,1422
