CensusYear,Sex,Single Year of Age,Administrative Counties,VALUE
2022,Male,10,Leitrim County Council,245
2022,Male,10,Mayo  County Council,968
2022,Male,10,Roscommon County Council,524
2022,Male,10,Sligo County Council,553
2022,Male,10,Cavan County Council,651
2022,Male,10,Donegal County Council,1277
2022,Male,10,Monaghan County Council,544
2022,Male,11,Carlow County Council,514
2022,Male,11,Dublin City Council,3053
2022,Male,11,Dún Laoghaire Rathdown County Council,1536
2022,Male,11,Fingal County Council,2807
2022,Male,11,South Dublin County Council,2382
2022,Male,11,Kildare County Council,2127
2022,Male,11,Kilkenny County Council,800
2022,Male,11,Laois County Council,824
2022,Male,11,Longford County Council,391
2022,Male,11,Louth County Council,1120
2022,Male,11,Meath County Council,1978
2022,Male,11,Offaly County Council,659
2022,Male,11,Westmeath County Council,770
2022,Male,11,Wexford County Council,1220
2022,Male,11,Wicklow County Council,1247
2022,Male,11,Clare County Council,908
2022,Male,11,Cork City Council,1393
2022,Male,11,Cork County Council,2979
2022,Male,11,Kerry County Council,1042
2022,Male,11,Limerick City & County Council,1492
2022,Male,11,Tipperary County Council,1268
2022,Male,11,Waterford City & County Council,934
2022,Male,11,Galway City Council,491
2022,Male,11,Galway County Council,1491
2022,Male,11,Leitrim County Council,266
2022,Male,11,Mayo  County Council,1015
2022,Male,11,Roscommon County Council,553
2022,Male,11,Sligo County Council,497
2022,Male,11,Cavan County Council,704
2022,Male,11,Donegal County Council,1330
2022,Male,11,Monaghan County Council,505
2022,Male,12,Carlow County Council,441
2022,Male,12,Dublin City Council,3236
2022,Male,12,Dún Laoghaire Rathdown County Council,1561
2022,Male,12,Fingal County Council,3013
2022,Male,12,South Dublin County Council,2459
2022,Male,12,Kildare County Council,2057
2022,Male,12,Kilkenny County Council,825
2022,Male,12,Laois County Council,818
2022,Male,12,Longford County Council,381
2022,Male,12,Louth County Council,1098
2022,Male,12,Meath County Council,1964
2022,Male,12,Offaly County Council,681
2022,Male,12,Westmeath County Council,752
2022,Male,12,Wexford County Council,1215
2022,Male,12,Wicklow County Council,1261
2022,Male,12,Clare County Council,984
2022,Male,12,Cork City Council,1356
2022,Male,12,Cork County Council,3072
2022,Male,12,Kerry County Council,1165
